,tweet,Date,Class
0,the google cast be give me option to setup my neighbor chromecast interesting attack vector ,2016-06-11,2.0
1,have you double checked to see if 8track be a google cast ready ?  ,2016-06-11,
2,we suggest try to control content via the google cast when this hens ,2016-06-11,
3,videox video and tv cast for google chromecast,2016-06-12,
4,batman the telltale series screenshot and initial cast reveal the,2016-06-12,
5,get the now watch hamilton cast s thrilling to,2016-06-13,
6,it look like cinemabox be not a cast ready,2016-06-13,
7,using google cast  flixster video icon takes me to flixster,2016-06-13,
8,secret on google fiber tvs? how to use the install google extension  google cast   go to any website and click on the extension,2016-06-14,
9,google unveils springboard and redesigned google sites in new early adopter program  venturebeat,2016-06-14,
10,feature request new  for audio receive  use old phone w speakers,2016-06-14,2.0
11,have you try control content via the google cast instead after you initiate a cast session?,2016-06-14,
12,hold on,2016-06-14,
13,google cast for free download be there a way to chromecast video from vimeo?,2016-06-15,
14,just release cast controller,2016-06-15,
15,be you try to set up your chromecast for the first time? have you try used the google cast on a mobile device?,2016-06-15,
16,missy  ,2016-06-16,
17,you can use our power cast for cast your content,2016-06-16,
18,what s wrong with cast through chromecast,2016-06-16,
19,hello its me share them with the cast and crew,2016-06-16,
20,a more realistic dream connect my android to my google cast to control a session launch on my desktop like can ,2016-06-17,
21,piss off my google chrome cast isn t functioning for my netflix so i have to sit with this macbook over heating on my lap,2016-06-18,1.0
22,how to set up chromecast with google cast,2016-06-18,
23,how to set up chromecast with google cast,2016-06-18,
24,there be an option to cast android screen on google cast used which we can cast all jio content to our tv,2016-06-18,
25,buy a google cast tv? better have your smartphone handy go to,2016-06-18,
26,in order to cast from my laptop,2016-06-18,
27,some usb cable will be compatible but with the google cast specifically,2016-06-19,
28,what s problem in chromecast last editionalway didn t ear in device by google cast ??,2016-06-19,
29,to all the cast and crew of ltn s addams family i will never forget you ,2016-06-20,
30,thank fot update your because netflix now completely stop work with google chrom cast bad developer,2016-06-20,
31,you should be able to pause content via the google cast under the device tab while you be casting ,2016-06-20,
32,to clarify,2016-06-20,
33,ah,2016-06-20,
34,league cast to listen to favourite rl podcast n rl internet radio in 1 place,2016-06-20,
35,google cast for free download vlc 3 0 nightly touch base with kind of working chromecast support,2016-06-21,
36,google cast by google,2016-06-21,
37,i hate the  with google chrome cast because if i go away for a little bit,2016-06-21,
38,playstation vue will launch for android phone and tablet next week with cast,2016-06-21,
39,do you have the google cast ?,2016-06-22,
40,when do this issue begin? be your google cast up to date? have you reboot your router and chromecast?,2016-06-22,
41,have you try pause content via the google cast under your device tab when this hens?,2016-06-22,
42,i cleared stage 100 1!want to play the sailor moon puzzle game with me? io android,2016-06-22,
43,there s a chromecast pin on my tv screen and picture be show up,2016-06-22,1.0
44,you need to have a google chrome for,2016-06-23,
45,google cast 1 16 1403,2016-06-23,
46,support deze ook google cast ?,2016-06-23,
47,in my google cast there no search box like the one in photo its very difficult to find an i use iphone,2016-06-23,
48,open google cast   select your chromecast device   setting   select your wifi network  we hope this helps ,2016-06-23,
49,when will you all add google cast capability to the,2016-06-23,
50,google chrome cast thru the cbs work great! all 4 camera plus quad view!,2016-06-23,
51,google chrome cast thru the cbs work great! all 4 camera plus quad view!,2016-06-23,
52,glee cast feat  gwyneth paltrow  kiss   streaming on download android,2016-06-24,
53,finally  guide on tablet,2016-06-24,
54,take 2  good news go90 now has google cast enabled  bad news sports content,2016-06-24,
55,take 2  good news go90 now has google cast enabled  bad news sports content,2016-06-24,
56,free  gives you 3d   ! le  android,2016-06-24,
57,google cast be now available on andronexus store,2016-06-25,
58,update google cast 1 16 7 on nexus 5   detail,2016-06-25,
59,can finally sign in on  to catch up on the eps not on ondemand! and i can use google cast to watch on tv!,2016-06-25,
60,google cast android be now available at repository ,2016-06-25,
61,all i want be an update that make it a general google cast target from any  ,2016-06-25,
62,if you use bing instead of google on the tv cast it will work  for some reason google win t work,2016-06-26,1.0
63,will there ever be a proper android tv or google cast support for   ,2016-06-26,
64,how can i stream from the south park via google chrome? s as video tv cast and google cast be not work properly,2016-06-26,
65,have you try to disconnect the cast session via the google cast ?,2016-06-27,
66,what issue be you have with the google cast ? can we help?,2016-06-27,
67,i use google cast  but i get a you tube error so i guess be not an issue with my cast  ,2016-06-27,1.0
68,it seem to cast ok from a movie i use but not when i try google photo or mirror function  it used to work fine,2016-06-27,
69,google launch cast for education,2016-06-27,
70,google launch cast for education,2016-06-27,
71,google launch cast for education,2016-06-27,
72,google launch cast for education,2016-06-27,
73,google just announce google cast for education chrome to beam content to student screen,2016-06-27,
74,the sincerest form of flattery,2016-06-27,
75,google launch cast for education,2016-06-27,
76,google just announce google cast for education chrome to beam content to student screen,2016-06-27,
77,google announce new education tool cast for education,2016-06-27,
78,google announce new education tool cast for education,2016-06-27,
79,fab update today to google form and cast for kid on chromebooks ,2016-06-27,
80,new google cast for ed,2016-06-27,
81,new google cast for ed,2016-06-27,
82,launch cast for,2016-06-27,
83,have you try control content via the google cast under the device tab?,2016-06-27,
84,we suggest directly reach out to the you be inquiring about and confirm if they have google cast support ,2016-06-27,
85,class collaboration just get easier w the google cast for education !,2016-06-27,
86,venturebeat google launch cast for education,2016-06-27,
87,google cast 4 ed,2016-06-27,
88,google cast 4 ed,2016-06-27,
89,this be great! expedition,2016-06-27,
90,do you know if i must use google classroom to use cast? or be the   chrome enough?,2016-06-27,
91,sell on your   google launch cast for education,2016-06-27,
92,google launch cast for education quiz in form cardboard expedition for android,2016-06-27,
93,launch cast for education,2016-06-27,
94,very interested in the google cast   can t wait to try it out!,2016-06-27,
95,just saw a demo of  cast 4 edu cool stuff   free! download free so ts ss can share their work,2016-06-27,
96,field trip with expedition for student,2016-06-27,
97,field trip with expedition for student,2016-06-27,
98,edu release cast for education,2016-06-27,
99,new tool announced  expedition,2016-06-27,2.0
100,venturebeat  google launches cast for education,2016-06-27,
101,from venturebeat google launch cast for education,2016-06-27,
102,google cast sdk version 3 released for android and io have release the 3 0 versio,2016-06-27,
103,google cast sdk version 3 released for android and io google have release the 3 0 version of its google cas,2016-06-27,
104,google cast sdk version 3 released for android and io google have release,2016-06-27,
105,google cast sdk version 3 released for android and io,2016-06-27,
106,google cast sdk version 3 released for android and io,2016-06-27,
107,google cast sdk version 3 released for android and io google have release the 3 0 version of its g,2016-06-27,
108,google cast sdk version 3 released for android and io google have release the 3 0 version of it,2016-06-27,
109,google cast sdk version 3 released for android and io,2016-06-27,
110,google cast sdk version 3 released for android and io via android central,2016-06-27,
111,google cast sdk version 3 released for android and io,2016-06-27,
112,google cast sdk version 3 released for android and io,2016-06-27,
113,google cast sdk version 3 released for android and io,2016-06-27,
114,google cast sdk version 3 released for android and io google have release the 3 0 version of its,2016-06-27,
115,google cast sdk version 3 released for android and io via,2016-06-27,
116,google cast sdk version 3 released for android and io,2016-06-27,
117,google cast sdk version 3 released for android and ioscentral  android forums,2016-06-27,
118,androidcentral google cast sdk version 3 released for android and io,2016-06-27,
119,google cast sdk version 3 released for android and iosgoogle have release the 3 0 version of its google cast sdk,2016-06-27,
120,google launch cast for education,2016-06-27,
121,google cast sdk version 3 released for android and io,2016-06-27,
122,venturebeat  google launches cast for education,2016-06-27,
123,google cast sdk version 3 released for android and io google have release the 3 0 version,2016-06-27,
124,google cast sdk version 3 released for android and io,2016-06-27,
125,google have release the 3 0 version of its google cast sdk for android and io developers  the update tool w,2016-06-27,
126,google cast sdk version 3 released for android and io,2016-06-27,
127,google cast sdk version 3 released for android and io at,2016-06-27,
128,android news  google cast sdk version 3 released for android and ios,2016-06-27,
129,google launch cast for education,2016-06-27,
130,google cast for education be a free chrome that allow student and teacher to share their  ,2016-06-27,
131,google cast sdk version 3 released for and io   read more,2016-06-27,
132,google launch cast for,2016-06-27,
133,new google cast for education  can t wait to check it out ,2016-06-27,
134,3 new release from,2016-06-27,
135,news   america  it s called google cast for education,2016-06-27,
136,new google cast for education  can t wait to check it out ,2016-06-27,
137,google cast for education google cast for education be finally release today in open beta  this allow,2016-06-27,
138,google have release the 3 0 version of its google cast sdk for android and io develop,2016-06-27,
139,google up its classroom cred with cast for education and quiz google have lau,2016-06-27,
140,3 new release from,2016-06-27,
141,weve introduced full state management that help you implement the right abstraction between your and google cast nope  its all java,2016-06-27,
142,new google cast sdk release for android and io,2016-06-27,
143,,2016-06-27,
144,what do you see in your google cast ? do you see anything on your tv?,2016-06-28,
145,expedition y google cast ,2016-06-28,
146,new google cast sdk release for android and io,2016-06-28,
147,google cast sdk version 3 released for android and io,2016-06-28,
148,i want to see about the new the google announce call google cast for education ,2016-06-28,
149,educator buzz at about free cast that allow st s to share screen wirelessly,2016-06-28,
150,reinstal android 4 4 2 tablet and official popcorntime but the google cast button in the diseared  can i fix that?,2016-06-28,
151,news   america  google cast for education is a free chrome that allows students and teachers to share their,2016-06-28,
152,,2016-06-28,
153,check out gafe updatesnew tools  i check out quiz feature for forms  that will be handy!thank,2016-06-28,
154,classrooh my godoogle cast for education teacher share their screen from,2016-06-28,
155,google launch new education tool the cast for education chrome let student and teacher turn the mai,2016-06-28,
156,google cast for education,2016-06-28,
157,excited that google annouced native support for self grade quiz in google forms!via,2016-06-28,
158,google cast for education,2016-06-28,
159,google cast sdk version 3 released for android and io have release the 3 0 version of its google cast sdk,2016-06-28,
160,google cast be here! an to screen share! we be pump,2016-06-28,
161,edu release cast for education,2016-06-28,
162,the google cast for education chrome enable teacher and student share their screen over wireless networks ,2016-06-28,
163,google cast,2016-06-28,
164,new google release,2016-06-28,
165,new google release,2016-06-28,
166,google cast,2016-06-28,
167,most impressive chromecast download like hulu,2016-06-29,
168,class collaboration just get easier w the google cast for education !,2016-06-29,
169,google cast for education to comprise quiz and puzzle google have,2016-06-29,
170,during google announced google cast for education  chrome video,2016-06-29,
171,during google announced google cast for education  chrome video,2016-06-29,
172,be ur google cast enabled?,2016-06-29,
173,google announced tools for classrooms quizzes part of google forms   google cast  a classroom projector,2016-06-29,
174,google announced tools for classrooms quizzes part of google forms   google cast  a classroom projector,2016-06-29,
175,can i use google cast to watch 4k60fps or do i have to use the build in youtube fot that?,2016-06-29,
176,i love the new,2016-06-30,
177,excited about google cast for education chrome s ability to share screen over wifi network,2016-06-30,
178,cast ing a spell google premier classroom virtual reality and new casting,2016-06-30,
179,cast ing a spell google premier classroom virtual reality and new casting,2016-06-30,
180,have you try control content via the mobile google cast ?,2016-06-30,
181,your be terrible! casting to google chrome cast be such a hassle  please fix it asap,2016-06-30,
182,hola   i assume your works with google cast audio now?,2016-07-01,
183,google bring cast for education,2016-07-01,
184,so essentially i can t sub to any cast and therefore the be now completely useless  review be up on google play  please fix,2016-07-01,
185,be your device list in the google cast under devices? have you reboot you router as well?,2016-07-01,
186,google cast for free download lazada will also sell chromecast 2 and chromecast audio now!,2016-07-02,
187,chrome get native google cast support build in,2016-07-02,
188,will the youtube smart tv google cast ever support 60fps,2016-07-03,
189,google add build in cast option to chrome for desktop,2016-07-03,2.0
190,finalmente non aveva senso dover installare un ostagoogle add build in cast option to chrome for desktop,2016-07-03,2.0
191,google release google cast sdk for android and io,2016-07-03,
192,google cast be pretty great  it allow you to search over many provider netflix,2016-07-03,
193,you know what would be super helpful? if i didn t have to connect to my google chrome cast every time i close the,2016-07-03,
194,which offer be you try to redeem specifically? be you on the latest version of the google cast ?,2016-07-03,
195,can you see your chromecast under device in your google cast ?,2016-07-03,
196,google chrome browser have a new cast option,2016-07-03,
197,yes  still disconnect and need to be stop in the google cast before it can be restartedreconnect in netflix,2016-07-04,
198,google add build in cast option to chrome for desktop,2016-07-04,2.0
199,o open google cast and click on offer in the sidebar,2016-07-04,
200,can you reboot your router,2016-07-04,1.0
201,google be build casting feature right into chrome,2016-07-05,
202,soon you ll be able to cast tab from chrome without an extension,2016-07-05,
203,google announce new education tool cast for education chrome,2016-07-05,
204,rlly!?i cant even as use chromecast to cast free episode on the !?,2016-07-05,
205,the google chromecast and the tv cast on the store be the best thing to ever be invented ,2016-07-05,
206,see how student can share their screen with teacher used the google cast  ,2016-07-05,
207,google cast android be now available at store ,2016-07-05,
208,google be build casting feature right into chrome,2016-07-05,
209,google cast for free download chromecast become the leader of stream device after beat le,2016-07-06,
210,okay so i buy a stupid chrome cast and the only that want to cast be youtube  how do i fix this,2016-07-10,
211,cool the aap be the in playstore if ye then no person get assign to the cast,2016-07-10,
212,what s go on here? casting from device be get worse by the day! currently cast and yt not work,2016-07-10,
213,tidal adds chromecast support to updated  tidal joins a handful of s that can already cast con,2016-07-10,
214,in and google cast would be great  look forward to it!,2016-07-10,
215,for custom class use the cast,2016-07-10,
216,please update twitter mobile live video to have google cast and le airplay run in background as well support ,2016-07-10,
217,google cast support ever coming to the android version of the rostertooth ?,2016-07-10,
218,hey,2016-07-11,
219,can you head to google cast on your phone   select device   turn off guest mode within device settings? keep us post nv,2016-07-11,
220,have update itself and supportscastcheck out,2016-07-11,
221,use google cast for education    google cast extension to wirelessly connect to projector,2016-07-11,
222,use google cast for education    google cast extension to wirelessly conn,2016-07-11,
223,can you verify that you have double check your router s settings? be your device list in the google cast ?,2016-07-11,
224,what give you this issue? have you disconnect the cast session via the google cast ?,2016-07-11,
225,check out league cast for all your rl radio and podcast need from all over the world,2016-07-11,
226,thanks  i go through the google cast,2016-07-11,
227,can you try disconnect the cast session with the google cast when this hen and see if it resolve the issue?,2016-07-11,1.0
228,google cast for free download now tidal come with chromecast support,2016-07-12,
229,still no google cast option within the natively?,2016-07-12,
230,hey everyone!!guess what?high q have a full cast list!!!!download it and check it out!!!google play,2016-07-13,
231,what s new with chromecast and the google cast  chromecast help,2016-07-13,
232,it s an online radio pod cast you can download the on google playstore  search for tweeterradiongor stream live,2016-07-13,
233,le tv seek cast for series the producer behind le s first tv series have put out a cast,2016-07-13,
234,le tv seek cast for series,2016-07-13,
235,what be you cast from? can you see cast content via the google cast when your cast icon disear in youtube?,2016-07-13,
236,dopejuice ohhh i m so nerdy,2016-07-13,
237,google form now let you quiz students ,2016-07-13,
238,can you verify if other s work for you,2016-07-13,
239,breaking news!!! we are now live on itunes  play,2016-07-14,
240,any real reason why spotify cant build google cast support into its desktop ?,2016-07-14,
241,google cast coming soon! share ss chrome browsers via a new  currently in beta,2016-07-14,
242,google cast coming soon! share ss chrome browsers via a new  currently in beta,2016-07-14,
243,how to use the new cast for edu  the techy coach blog broadcast student work to the head of the class!,2016-07-14,
244,open the google cast   select your chromecast device   tap the device card menu   locate firmware version xxxx,2016-07-14,
245,the google cast for education be now available ,2016-07-14,
246,the google cast for education be now available ,2016-07-14,
247,google cast for education !!! i can t wait to try it ,2016-07-15,
248,android v3 cast sdk crash,2016-07-15,1.0
249,panel s verdict magic matchplay,2016-07-15,
250,quick video on wirelessly share student screeen via google cast for education,2016-07-15,
251,google cast for free download difference between the original and chromecast2,2016-07-16,
252,it s a game on  smart phones  with an called   google maps  and a cast of characters called  pokmon,2016-07-16,
253,july 17,2016-07-16,
254,july 17,2016-07-16,
255,try out the league cast free for android to follow your rugby league podcast available on google play ,2016-07-16,
256,be your chromecast list in your google cast ? be you used the hdmi extender as well?  ,2016-07-16,
257,try out the league cast free for android to follow your rugby league podcast available on google play ,2016-07-16,
258,spinner compatspinner cannot be cast to com example,2016-07-17,
259,want to google cast my bbc istore program to my tv please from the iphone  ,2016-07-17,
260,league cast to listen to all ur rl podcast n rl radio in 1 place,2016-07-17,
261,league cast to listen to all ur rl podcast n rl radio in 1 place,2016-07-17,
262,league cast to listen to all ur rl podcast n rl radio in 1 place,2016-07-17,
263,league cast to listen to all ur rl podcast n rl radio in 1 place,2016-07-17,
264,glee cast  don t you want me   streaming on download android,2016-07-17,
265,le wage war on your cable box,2016-07-17,
266,league cast to listen to all ur rl podcast n rl radio in 1 place htt,2016-07-17,
267,i be constantly have to disconnect and reconnect the device  no error on screen  google cast do t show device ,2016-07-17,1.0
268,to check your firmware,2016-07-17,
269,try out the league cast free for android to follow your rugby league podcast available on google play,2016-07-18,
270,don t need it  it s an work on amazon fire stick,2016-07-18,
271,be your chromecast device list in the google cast on this device? what be you used to cast?,2016-07-18,
272,open the google cast   locate your chromecast   device setting   tap name to change your chromecast s name ,2016-07-18,
273,me siri,2016-07-19,
274,me siri,2016-07-19,
275,i add a video to a playlist bring universal google cast functionality to every android with,2016-07-19,
276,new cast and visual announce for haikyuu!! 3rd season,2016-07-19,
277,droneflight first phantom 4 programmed flight with google earth and litchi   work great !!cast luc buel,2016-07-19,
278,i create a multiplayer game with a google cast remote display ?,2016-07-19,
279,try out the league cast free for android to follow your rugby league podcast available on google play,2016-07-19,
280,yeah or go under the google cast it should be in your menu,2016-07-20,
281,interesting summertime recipe for cast iron include frittata with pepper,2016-07-20,
282,sounds orchestral  cast your fate to the wind at android,2016-07-20,
283,be you see an error message? be your device list in the google cast ? when do this issue begin?,2016-07-20,
284,in the google cast,2016-07-20,
285,download the  basketball ghana  on google play store to cast your vote ,2016-07-20,
286,glee cast feat  gwyneth paltrow  landslide   streaming on download android,2016-07-20,
287,download the  basketball ghana  on google play store to cast your vote ,2016-07-20,
288,be your device list in the google cast ?,2016-07-20,
289,google cast for free download best wi fi speaker and music system for your device,2016-07-21,
290,google cast for education  chrome to wirelessly share computer screens,2016-07-21,
291,google cast for education be a free chrome worth a,2016-07-21,
292,used a samsung tv that allow you to google cast from the youtube only ,2016-07-21,
293,you should be able to cast every with chromecast,2016-07-23,
294,on the netflix,2016-07-23,
295,any idea when the window 10 pandora might get google cast?,2016-07-24,
296,be it plug directly into your tv s hdmi port? be it power by an external outlet? be it list in your google cast ?,2016-07-24,
297,really wish wwe would add chromecast support to their but at least i can google cast it from my tablet  wait for battleground!,2016-07-24,
298,wwe need to add a fuckin google cast button to the damn,2016-07-24,
299,we have the google cast that allow you to control content you re casting ,2016-07-25,
300,to check your chromecast s firmware version,2016-07-25,
301,how vizio and google radically reinvent the tv,2016-07-25,
302,how to cast a chrome to chromecast,2016-07-25,
303,signordal  how to cast a chrome to chromecast,2016-07-25,
304,we suggest try to control content with the google cast when this hens ,2016-07-26,
305,be your device list in your google cast ? be you have trouble with a particular ? have you reboot your router?,2016-07-26,
306,be your device list in your google cast ?,2016-07-26,
307,i can t find this offer in the google cast   can you help me?,2016-07-26,
308,when 7 on 7 end and you put them pad onplayerpod,2016-07-26,
309,love the google cast   it s awesome and you can stream on tv right from your phone ,2016-07-27,
310,do you have any google cast fix due? it s painfully buggy to use the android with audio casting at the moment,2016-07-27,
311,unfortunately,2016-07-27,
312,any chance of usa now come to google cast aka chromecast ? would rather watch ur show on big tv than little tablet ,2016-07-28,
313,ooh  so i m on my phone listening to a podcast and the brings up the  cast  icon  which offers a  nearby google device  to cast to ,2016-07-28,
314,how can i pass firebaseauth token from my to google cast custom receiver ?,2016-07-28,
315,look like nbc sport get its google cast update today  look pretty good watch the f1 paddock pass through it ,2016-07-29,
316,look like nbc sport get its google cast update today  look pretty good watch the f1 paddock pass through it ,2016-07-29,
317,  now have google cast icon,2016-07-29,
318,hey the google cast extension for your iphone be busted  quality be trash and frame rate be janky,2016-07-30,
319,any chance that an amazon video update be come that feature google cast capability? i would love to watch prime on my new tv ,2016-07-30,2.0
320,how to cast your android screen to a window 10 pc,2016-07-30,
321,have you listen to this week s now on league cast the free rugby league audio on google play,2016-07-30,
322,the new episode ofis on league cast the free rugby league radio on google play,2016-07-30,
323,this android browser let you cast almost any video to chromecast,2016-07-30,
324,how to play background music and audio on xbox one search for the podcasting cast or the music pando,2016-07-30,
325,the new episode ofis on league cast the free rugby league radio on google play,2016-07-30,
326,hi marco love overcast! feature request ability to cast to google cast chromecast,2016-07-31,
327,turn out,2016-07-31,
328,how to cast your android screen to a window 10 pc,2016-07-31,
329,google to rebrand the chromecast as google cast,2016-07-31,
330,dear android user,2016-07-31,
331,dear android user,2016-07-31,
332,what be the chance we get google cast build into the library so that we can stream content onto newer tvs?,2016-07-31,
333,add google cast support to the fm radio plz,2016-08-01,2.0
334,a remote would be lovely for your chrome cast  it s hard to go back to a spot without rewind function,2016-08-01,
335,google to rebrand the chromecast as google cast,2016-08-01,
336,today s update of nbc sports  officially  adds google cast support,2016-08-01,
337,today s update of nbc sports  officially  adds google cast support,2016-08-01,
338,can you clear the google play s cache and delete the s data? be you able to cast this video from a different device?,2016-08-02,
339,hm,2016-08-02,
340,when do this issue begin? have you try reboot your s7? can you try clear the cache for the google cast ?,2016-08-02,
341,be you able to control content via the google cast when your device lose connection with the netflix ?,2016-08-02,
342,i be just able to stop cast with the google cast when the netflix stop respondingbut often the cast doesnt ,2016-08-02,
343,it be work with your   it work with the chromecast,2016-08-02,
344,google cast for free download chromecast have rank top in the list of best selling hardware product,2016-08-03,
345,get it  thank you for clarifying  we ll let our team know you d like to see our work with google cast on vizio,2016-08-03,
346,create sample google cast using  by web9719,2016-08-03,
347,mobile wanted! create sample google cast using  by web9719 looking for it now!,2016-08-03,
348,i do have extension installed  i be look for the common option,2016-08-03,
349,yes to that effect  google cast for education  is completely uninstalled from chrome  i know this is an oddball issue ,2016-08-03,
350,why do the sport not use google chromecast for video? i don t want to fire up my pc just to cast video to my tv ,2016-08-03,
351,as of chrome 51 google cast be now build in  and i can t cast youtube video to the youtube on my smart tv anymore used it  sigh,2016-08-03,
352,just updated cast controller to v1 8  to play on your tv,2016-08-04,
353,hey midge! we d recommend turning off guest mode from your google cast   more info here  cm,2016-08-04,
354,be your device show up in the google cast despite not be visible on your tv?,2016-08-04,
355,you forward this to your devs? can help you out!,2016-08-04,
356,gwyneth paltrow,2016-08-04,
357,pantera  i ll cast a shadow   streaming on download android,2016-08-04,
358,sure thing! open your google cast   locate your chromecast device   device setting   tap on your device s name to adjust,2016-08-04,
359,when this hen,2016-08-04,1.0
360,be your device list in the google cast ? do the issue persist when you use a different device to cast?,2016-08-04,
361,ok,2016-08-04,
362,try rename the chromecast name used the google cast on your phone wait for it to change then open netflix ,2016-08-04,
363,thank so much for flagging! how about this link?,2016-08-04,
364,check this link here it will allow you to cast the to your tv used this device   ash,2016-08-05,
365,only need a tv with hdmi  u don t download chromecast,2016-08-05,
366,rio s opening ceremony aim to cast troubled game in new light,2016-08-05,
367,league culture 27 with on the free rl audio on google play,2016-08-06,
368,when can we expect a google ? i use chrome cast,2016-08-06,
369,so the nbc win t cast  i think it be my device,2016-08-06,
370,open up the google cast   locate your chromecast device   setting   tap on the wifi network to adjust ,2016-08-06,
371,don t know if you have fix it but i ve found open it directly from the google cast work most of the time ,2016-08-06,
372,do your support google chrome cast?,2016-08-06,
373,use window 10 anniversary update s connect to cast your  lt b android lt b  phone,2016-08-07,
374,use window 10 anniversary update s connect to cast your android phone to your pc,2016-08-07,
375,use window 10 anniversary update s connect to cast your android phone to your pc,2016-08-07,
376,use window 10 anniversary update s connect to cast your android phone to your pc if you have i,2016-08-07,
377,oh i meant the chromecast  google cast   then you use that to mirror the contents of your phone  your chromecast is 5hz?,2016-08-07,
378,use window 10 anniversary update s connect to cast your android phone to your pc,2016-08-07,
379,cannot be cast,2016-08-07,
380,use window 10 anniversary update s connect to cast your android phone to your pc,2016-08-07,
381,hey,2016-08-07,
382,use window 10 anniversary update s connect to cast your android phone to your pc if you have install,2016-08-07,
383,have you try delete the google cast,2016-08-07,
384,have you try control content via the google cast when you re casting?,2016-08-07,
385,luckily google be smarter than the nbc and i can cast my device screen wo have to involve the nbc  ,2016-08-07,
386,its in google cast under offers ,2016-08-08,
387,problem with google chrome cast after new update also,2016-08-08,
388,be your io compatible with google cast?,2016-08-08,
389,i continue to have issue with your   today when i try to cast to chromecast i get a google error  your product stinks ,2016-08-08,
390,use window 10 anniversary s connect to cast your smartphone screen to your pc the connect in,2016-08-08,
391,additional i wanto know if there be a way to cast from the xfinitytv on io or android to a tv via airplay or google cast,2016-08-09,
392,a cast be ready  however,2016-08-09,
393,a cast be ready  however,2016-08-09,
394,check cast for education !   can now share their screen,2016-08-09,
395,nope not much helpful link i guess  it have all related to development not the google cast device info,2016-08-09,
396,and show how to mirror with new google cast   awesome!,2016-08-09,
397,can you try disconnect the cast session? be you able to pause via the google cast on a mobile device?,2016-08-09,
398,lebrun develops fishing  flash forward a few months and a few thousand dollars and exact cast bass fishing,2016-08-09,
399,what be you try to cast from? be your device list in your google cast ?,2016-08-09,
400,be your device list in your google cast ? can you clear the netflix s cache and delete its data?,2016-08-09,
401,lebrun develops fishing  flash forward a few months and a few thousand dollars and exact cast bass fishin,2016-08-09,
