sooo hy find my account on google play and all my datum be save the thing that annoy me be the energy take slow. if i want to watch a video for energy it say no video it say that for 3 whole days. i just update it and it s take forever to load what s hening!!! please reply,b
great game but some time cant press on anything,b
the newer version have improve incredibly over the last however i be experience a lot of glitch such as the wrong character load into event and the try to start two event in the same place. it s all very confusing,b
its not what it use to be. its constantly crash \u0026amp; be run slow. in the begin it be so smooth! just re dload it as i haven t play in a while wow! its go down hill!!!,b
it keep crashng please fix this,b
i cant collect my gift boxes and i dont have the lil giftbox icon in the bottom left corner im getting very frustrated as i have put a lot of money into this game ğŸ˜ğŸ˜ğŸ˜,b
first of all person need to stop say that it have to many bug because it do a you just have to upgrade it,b
it has great graffics and its just soo damn coooolï¼ï¼,b
it keep restart,b
it s like somebody have hack into my account and their used all my gem and money and change my character somebody fix this please!!,b
it work well for me and it load fast only for 20 sec and it s all do,b
very good when i mean good i mean good,b
there should be a login or a sign in so that you won t have to start everything all over againğŸ˜„,b
why do it need wifi? can we just play this game without used wifi??? please fix and i will rate this game 5 stars.,b
have improve but occasionally force shut.,b
i start on a job and i come back to finish it but have to re do it over we pay money for what? y all treat the customer like sh t this very annoying,b
